date,permit_number,sequence_number,input_order,inspection_type,address,permit,result,inspector,result_clean,inspection_clean,zip
2025-06-05,2025006752,1,30,ROUGH,1611 NW 12 AVE,MECH,NOT INSPECTED,Eusebio Aguilar-Godoy,OTHER,Rough/Structural,33136
2025-06-05,2023056382,27,194,INSULATION INSPECTIONS,1700 NE 145 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33181
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025028446,7,89,BUCK AND FASTENER,9907 SW 164 PL,BLDG,NOT INSPECTED,Angel Castro,OTHER,Pre-Construction/Anchors,33196
2025-06-05,2024073267,2,4,ROUGH,7389 SW 45 ST,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Rough/Structural,33314
2025-06-05,2024022578,1,46,ROUGH,1611 NW 12 AVE,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Rough/Structural,33136
2025-06-05,2025046727,8,22,FINAL,3400 SW 100 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Final,34476
2025-06-05,2025045343,11,116,FINAL,5300 NW 181 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Final,33055
2025-06-05,2024066494,4,91,FINAL,4231 SW 10 ST,ELEC,NOT INSPECTED,Edgar Loiseau,OTHER,Final,33442
2025-06-05,2023067035,11,209,FRAMING/FIRE STOPPING WINDOWS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2025046211,4,6,ROUGH,19479 SW 340 ST,MECH,NOT INSPECTED,Mario Fontela  Jr,OTHER,Rough/Structural,33034
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2024058290,3,27,ROUGH,3100 SW 62 AVE,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Rough/Structural,33155
2025-06-05,2024030608,6,25,FINAL,5785 SW 30 ST,MECH,NOT INSPECTED,Luigi Chinea,OTHER,Final,33155
2025-06-05,2024004956,2,135,ROUGH,2660 NE 192 TER,ELEC,NOT INSPECTED,Gizelle Andrews,OTHER,Rough/Structural,33180
2025-06-05,2025047166,1,13,ROUGH,9217 SW 152 ST,ELEC,NOT INSPECTED,Alejandro Ordonez,OTHER,Rough/Structural,33157
2025-06-05,2025040609,2,138,TIME OF INSTALLATION,10945 PERRY DR,ROOF,NOT INSPECTED,Everildo Perez,OTHER,Pre-Construction/Anchors,33176
2025-06-05,2025038607,3,41,ROUGH,2750 SW 27 TER 108,PLUM,NOT INSPECTED,Kevin OConnor,OTHER,Rough/Structural,33133
2025-06-05,2024056228,4,99,ROUGH,1611 NW 12 AVE,ELEC,NOT INSPECTED,Lawrence Molina,OTHER,Rough/Structural,33136
2025-06-05,2025047586,11,7,BEFORE ANCHOR SHEET IS COVERED,7438 SW 105 PL,ROOF,NOT INSPECTED,Christopher Suleman,OTHER,Pre-Construction/Anchors,33173
2025-06-05,2023067035,12,210,INSULATION INSPECTIONS,2335 NE 186 ST,BLDG,NOT INSPECTED,Alexander Bedoya,OTHER,Framing/Drywall,33180
2025-06-05,2025044600,2,94,BUCK AND FASTENER,10211 SW 137 PL,BLDG,NOT INSPECTED,Angel Castro,OTHER,Pre-Construction/Anchors,33186
2025-06-05,2025034253,4,9,FINAL,7333 SW 74 LN,PLUM,NOT INSPECTED,Barnette  K Gunn,OTHER,Final,32608
